"Description" "polaczenie" "Distance" "ilosc_lotow"
"American Airlines Inc." "Raleigh(NC) - Chicago(IL)" 647 40602
"American Airlines Inc." "Tampa(FL) - Raleigh(NC)" 587 7865
"American Airlines Inc." "Chicago(IL) - San Jose(CA)" 1829 32256
"American Airlines Inc." "Cleveland(OH) - Columbus(OH)" 112 544
"American Airlines Inc." "Columbus(OH) - Dallas-Fort Worth(TX)" 927 24343
"American Airlines Inc." "Dallas-Fort Worth(TX) - Corpus Christi(TX)" 354 11875
"American Airlines Inc." "Bakersfield(CA) - Dallas-Fort Worth(TX)" 1271 5689
"American Airlines Inc." "Santa Barbara(CA) - Bakersfield(CA)" 82 1345
"American Airlines Inc." "Atlanta(GA) - Dallas-Fort Worth(TX)" 732 71948
"American Airlines Inc." "Dallas-Fort Worth(TX) - Sacramento(CA)" 1431 32614
"American Airlines Inc." "Lubbock(TX) - Amarillo(TX)" 108 308
"American Airlines Inc." "Chicago(IL) - Omaha(NE)" 416 9378
"American Airlines Inc." "Chicago(IL) - Baltimore(MD)" 622 20519
"American Airlines Inc." "Tulsa(OK) - Chicago(IL)" 585 28558
"American Airlines Inc." "Dallas-Fort Worth(TX) - Salt Lake City(UT)" 988 30201
"American Airlines Inc." "Shreveport(LA) - Dallas-Fort Worth(TX)" 190 7242
"American Airlines Inc." "Nashville(TN) - Houston(TX)" 657 7572
"American Airlines Inc." "Philadelphia(PA) - Nashville(TN)" 675 8554
"American Airlines Inc." "Charleston(SC) - Atlanta(GA)" 259 1104
"American Airlines Inc." "Chicago(IL) - Tucson(AZ)" 1437 21256
"American Airlines Inc." "Dallas-Fort Worth(TX) - Windsor Locks(CT)" 1471 23607
"American Airlines Inc." "Chicago(IL) - Tulsa(OK)" 585 28282
"American Airlines Inc." "Dallas-Fort Worth(TX) - West Palm Beach(FL)" 1103 16601
"American Airlines Inc." "West Palm Beach(FL) - Ft. Myers(FL)" 103 106
"American Airlines Inc." "Ft. Myers(FL) - Dallas-Fort Worth(TX)" 1017 9582
"American Airlines Inc." "Covington(KY) - Dayton(OH)" 64 22
"American Airlines Inc." "Colorado Springs(CO) - Dallas-Fort Worth(TX)" 592 37113
"American Airlines Inc." "Dallas-Fort Worth(TX) - Ft. Lauderdale(FL)" 1119 33888
"American Airlines Inc." "Ft. Lauderdale(FL) - West Palm Beach(FL)" 42 486
"American Airlines Inc." "Chantilly(VA) - Chicago(IL)" 589 5564
"American Airlines Inc." "Chicago(IL) - Des Moines(IA)" 299 8669
"American Airlines Inc." "Akron(OH) - Fort Wayne(IN)" 196 373
"American Airlines Inc." "Fort Wayne(IN) - Chicago(IL)" 157 3461
"American Airlines Inc." "San Jose(CA) - Dallas-Fort Worth(TX)" 1438 53498
"American Airlines Inc." "Pittsburgh(PA) - Dallas-Fort Worth(TX)" 1068 20787
"American Airlines Inc." "New Orleans(LA) - Nashville(TN)" 471 7895
"American Airlines Inc." "Dallas-Fort Worth(TX) - New Orleans(LA)" 448 43531
"American Airlines Inc." "Nashville(TN) - Chattanooga(TN)" 112 3438
"American Airlines Inc." "Dallas-Fort Worth(TX) - Covington(KY)" 812 12180
"American Airlines Inc." "Orlando(FL) - Dallas-Fort Worth(TX)" 984 53366
"American Airlines Inc." "Nashville(TN) - Memphis(TN)" 200 7774
"American Airlines Inc." "New York(NY) - Nashville(TN)" 764 21312
"American Airlines Inc." "Memphis(TN) - Little Rock(AR)" 129 18
"American Airlines Inc." "Houston(TX) - Chicago(IL)" 925 32932
"American Airlines Inc." "Chicago(IL) - Fort Wayne(IN)" 157 3239
"American Airlines Inc." "Tucson(AZ) - Chicago(IL)" 1437 22704
"American Airlines Inc." "Minneapolis(MN) - Dallas-Fort Worth(TX)" 852 42935
"American Airlines Inc." "Mobile(AL) - Dallas-Fort Worth(TX)" 540 2160
"American Airlines Inc." "Chicago(IL) - Providence(RI)" 849 24152
"American Airlines Inc." "Albany(NY) - Chicago(IL)" 723 19677
"American Airlines Inc." "Chicago(IL) - Denver(CO)" 888 44440
"American Airlines Inc." "Dallas-Fort Worth(TX) - Portland(OR)" 1616 31293
"American Airlines Inc." "Wichita(KS) - Omaha(NE)" 265 2
"American Airlines Inc." "Oakland(CA) - Dallas-Fort Worth(TX)" 1456 27764
"American Airlines Inc." "Covington(KY) - Chicago(IL)" 264 9407
"American Airlines Inc." "Boston(MA) - Nashville(TN)" 943 8884
"American Airlines Inc." "Memphis(TN) - Dallas-Fort Worth(TX)" 432 29645
"American Airlines Inc." "Dallas-Fort Worth(TX) - Harlingen(TX)" 461 12208
